[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\files\move.py first seen with mtime 1695833624.5636408
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1695833623.3032193
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\functools.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\apps\registry.py first seen with mtime 1695833622.1650994
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1695833624.714957
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1695833624.648553
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1695833624.7296262
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\_compression.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\utils\safestring.py first seen with mtime 1695833624.761116
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1695833621.9402888
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\types.py first seen with mtime 1692881952.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\email\feedparser.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1695833624.5548575
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1695833624.6026807
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\template\context.py first seen with mtime 1695833624.7188914
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\email\policy.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\_weakrefset.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1695833624.7679484
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1695833624.7718215
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\asyncio\log.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1695833624.558761
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\asyncio\windows_events.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1695833624.7718215
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1695833624.5450964
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\re\_casefix.py first seen with mtime 1692881952.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\difflib.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\views\debug.py first seen with mtime 1695833624.7699006
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\asyncio\exceptions.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\collections\__init__.py first seen with mtime 1692881950.0
